country,type_of_policy,current_framework
India,Import/export controls,No known legislation
India,Licensing/registration requirements,No known legislation
India,Min/max standards,"Information Technology Act 2000: Section 84A allows the government to set nationally permitted methods and modes for encryption. 
 The Government of India, Ministry of Communications and IT, Licence Agreement for Provision of Internet Services (2007) stipulates that service providers may not deploy â€œbulk encryptionâ€ on their networks, while the law has also restricted individuals from using encryption greater than an easily breakable 40-bit key length without prior permission and required anyone using stronger encryption to provide the government with a copy of the encryption keys."
India,Powers to intercept/decrypt encrypted communications,"Information Technology Act 2000: Section 69, as amended by the Information Technology (Amendment) Act 2008, requires persons to decrypt encrypted data if called upon. Failure to do so is punishable by up to seven years' imprisonment and/or a fine."
India,Other restrictions,No known legislation
Indonesia,General right to encryption,No known legislation
Indonesia,Import/export controls,No known legislation
Indonesia,Licensing/registration requirements,No known legislation
Indonesia,Min/max standards,No known legislation
Indonesia,Powers to intercept/decrypt encrypted communications,No known legislation
Indonesia,Other restrictions,No known legislation
Iran,General right to encryption,No known legislation.
Iran,Import/export controls,No known legislation.
Iran,Licensing/registration requirements,No known legislation.
Iran,Min/max standards,No known legislation.
Iran,Powers to intercept/decrypt encrypted communications,No known legislation.
Iran,Other restrictions,"Computer Crime Law: Article 10 criminalises â€œconcealing data, changing passwords, and/or encoding data that could deny access of authorised individuals to data, computer and telecommunication systems.â€ The offence is punishable by imprisonment of between 91 days and one year or a fine of between between IRR 5,000,000 and IRR 20,000,000."
Iraq,General right to encryption,No known legislation
Iraq,Import/export controls,No known legislation
Iraq,Licensing/registration requirements,No known legislation
Iraq,Min/max standards,No known legislation
Iraq,Powers to intercept/decrypt encrypted communications,No known legislation
Iraq,Other restrictions,No known legislation
Ireland,General right to encryption,No known legislation
Ireland,Import/export controls,No known legislation
Ireland,Licensing/registration requirements,No known legislation
Ireland,Min/max standards,No known legislation
Ireland,Powers to intercept/decrypt encrypted communications,"Electronic Commerce Act, 2000: Section 27(1) allows a District Court to issue a search warrant. Section 27(2) provides that such warrants authorise named officers to ""seize anything found there, or anything found in the possession of a person present there at the time of the search, which that officer or member reasonably believes to be evidence of or relating to an offence under this Act and, where the thing seized is or contains information or an electronic communication that cannot readily be accessed or put into intelligible form, to require the disclosure of the information or electronic communication in intelligible form."" However, section 28 provides that this cannot be construed so as to require ""the disclosure or enabling the seizure of unique data, such as codes, passwords, algorithms, private cryptographic keys, or other data, that may be necessary to render information or an electronic communication intelligible."" Failure to comply with a requirement under section 27(1) is punishable by imprisonment of up to 12 months and/or a fine."
Ireland,Other restrictions,No known legislation
Israel,General right to encryption,No known legislation
Israel,Import/export controls,Order Governing the Control of Commodities and Services (Engagement in Encryption Items) - 1974: The Ministry of Defense has instituted a system of control and licensing for items of encryption.
Israel,Licensing/registration requirements,Order Governing the Control of Commodities and Services (Engagement in Encryption Items) - 1974: The Ministry of Defense has instituted a system of control and licensing for items of encryption.
Israel,Min/max standards,No known legislation
Israel,Powers to intercept/decrypt encrypted communications,No known legislation
Israel,Other restrictions,No known legislation
Italy,General right to encryption,No known legislation
Italy,Import/export controls,No known legislation
Italy,Licensing/registration requirements,No known legislation
Italy,Min/max standards,No known legislation
Italy,Powers to intercept/decrypt encrypted communications,"There is no legal obligation for individuals to provide encryption keys. However, internet services providers are legally obliged to provide any available information regarding customers who are under investigation, following a court order."
Italy,Other restrictions,No known legislation
Jamaica,General right to encryption,No known legislation
Jamaica,Import/export controls,No known legislation
Jamaica,Licensing/registration requirements,No known legislation
Jamaica,Min/max standards,No known legislation
Jamaica,Powers to intercept/decrypt encrypted communications,"Interception of Communications Act: Sections 12 and 13 allow for the police, after obtaining a ""disclosure order"" from a magistrate, to require persons who are in possession of a key to decrypt data, to provide the decrypted data in an intelligible form or to provide the key. Failure to comply with a disclosure order is punishable with up to six months' imprisonment and/or a fine of JMD 500,000."
Jamaica,Other restrictions,No known legislation
Japan,General right to encryption,No known legislation
Japan,Import/export controls,No known legislation
Japan,Licensing/registration requirements,No known legislation
Japan,Min/max standards,No known legislation
Japan,Powers to intercept/decrypt encrypted communications,No known legislation
Japan,Other restrictions,No known legislation
Jordan,General right to encryption,No known legislation
Jordan,Import/export controls,No known legislation
Jordan,Licensing/registration requirements,No known legislation
Jordan,Min/max standards,No known legislation
Jordan,Powers to intercept/decrypt encrypted communications,No known legislation
Jordan,Other restrictions,No known legislation
Kazakhstan,General right to encryption,No known legislation
Kazakhstan,Import/export controls,No known legislation
Kazakhstan,Licensing/registration requirements,No known legislation
Kazakhstan,Min/max standards,No known legislation
Kazakhstan,Powers to intercept/decrypt encrypted communications,"Law on Communications: Regulations made under new provisions in the Law on Communications require every internet user in the country to install a backdoor, allowing the government to conduct surveillance. KazakhTelecom, the country's largest telecommunications company, has said that citizens are ""obliged"" to install a ""national security certificate"" on every device, including desktops and mobile devices. This allows the government to conduct a so-called ""man-in-the-middle"" attack, which allows the government to intercept every secure connection in the country and see web browsing history, usernames and passwords, and even secure and HTTPS-encrypted traffic."
Kazakhstan,Other restrictions,No known legislation
Kenya,General right to encryption,No known legislation
Kenya,Import/export controls,No known legislation
Kenya,Licensing/registration requirements,No known legislation
Kenya,Min/max standards,No known legislation
Kenya,Powers to intercept/decrypt encrypted communications,No known legislation
Kenya,Other restrictions,No known legislation
Kiribati,General right to encryption,No known legislation
Kiribati,Import/export controls,No known legislation
Kiribati,Licensing/registration requirements,No known legislation
Kiribati,Min/max standards,No known legislation
Kiribati,Powers to intercept/decrypt encrypted communications,No known legislation
Kiribati,Other restrictions,No known legislation
Kuwait,General right to encryption,No known legislation
Kuwait,Import/export controls,No known legislation
Kuwait,Licensing/registration requirements,No known legislation
Kuwait,Min/max standards,No known legislation
Kuwait,Powers to intercept/decrypt encrypted communications,No known legislation
Kuwait,Other restrictions,No known legislation
Kyrgyzstan,General right to encryption,No known legislation
Kyrgyzstan,Import/export controls,No known legislation
Kyrgyzstan,Licensing/registration requirements,No known legislation
Kyrgyzstan,Min/max standards,No known legislation
Kyrgyzstan,Powers to intercept/decrypt encrypted communications,No known legislation
Kyrgyzstan,Other restrictions,No known legislation
Laos,General right to encryption,No known legislation
Laos,Import/export controls,No known legislation
Laos,Licensing/registration requirements,No known legislation
Laos,Min/max standards,No known legislation
Laos,Powers to intercept/decrypt encrypted communications,No known legislation
Laos,Other restrictions,No known legislation
Latvia,General right to encryption,No known legislation
Latvia,Import/export controls,No known legislation
Latvia,Licensing/registration requirements,No known legislation
Latvia,Min/max standards,No known legislation
Latvia,Powers to intercept/decrypt encrypted communications,No known legislation
Latvia,Other restrictions,No known legislation
Lebanon,General right to encryption,No known legislation
Lebanon,Import/export controls,No known legislation
Lebanon,Licensing/registration requirements,No known legislation
Lebanon,Min/max standards,No known legislation
Lebanon,Powers to intercept/decrypt encrypted communications,No known legislation
Lebanon,Other restrictions,No known legislation
Lesotho,General right to encryption,No known legislation
Lesotho,Import/export controls,No known legislation
Lesotho,Licensing/registration requirements,No known legislation
Lesotho,Min/max standards,No known legislation
Lesotho,Powers to intercept/decrypt encrypted communications,No known legislation
Lesotho,Other restrictions,No known legislation
Liberia,General right to encryption,No known legislation
Liberia,Import/export controls,No known legislation
Liberia,Licensing/registration requirements,No known legislation
Liberia,Min/max standards,No known legislation
Liberia,Powers to intercept/decrypt encrypted communications,No known legislation
Liberia,Other restrictions,No known legislation
Libya,General right to encryption,No known legislation
Libya,Import/export controls,No known legislation
Libya,Licensing/registration requirements,No known legislation
Libya,Min/max standards,No known legislation
Libya,Powers to intercept/decrypt encrypted communications,No known legislation
Libya,Other restrictions,No known legislation
Liechtenstein,General right to encryption,No known legislation
Liechtenstein,Import/export controls,No known legislation
Liechtenstein,Licensing/registration requirements,No known legislation
Liechtenstein,Min/max standards,No known legislation
Liechtenstein,Powers to intercept/decrypt encrypted communications,No known legislation
Liechtenstein,Other restrictions,No known legislation
Lithuania,General right to encryption,No known legislation
Lithuania,Import/export controls,No known legislation
Lithuania,Licensing/registration requirements,No known legislation
Lithuania,Min/max standards,No known legislation
Lithuania,Powers to intercept/decrypt encrypted communications,No known legislation
Lithuania,Other restrictions,No known legislation
Luxembourg,General right to encryption,"Law of 14 August 2000 on Electronic Commerce: Article 3 provides that ""The use of cryptographic techniques is free."""
Luxembourg,Import/export controls,No known legislation
Luxembourg,Licensing/registration requirements,No known legislation
Luxembourg,Min/max standards,No known legislation
Luxembourg,Powers to intercept/decrypt encrypted communications,Code of Criminal Procedure: Article 66(4) provides that an investigating judge may require a person - other than the subject of the person to whom a direction relates - who has knowledge of encryption mechanisms to provide understanding of the seized protected or encrypted data.
Luxembourg,Other restrictions,No known legislation
Macedonia,General right to encryption,No known legislation
Macedonia,Import/export controls,No known legislation
Macedonia,Licensing/registration requirements,No known legislation
Macedonia,Min/max standards,No known legislation
Macedonia,Powers to intercept/decrypt encrypted communications,No known legislation
Macedonia,Other restrictions,No known legislation
Madagascar,General right to encryption,No known legislation
Madagascar,Import/export controls,No known legislation
Madagascar,Licensing/registration requirements,No known legislation
Madagascar,Min/max standards,No known legislation
Madagascar,Powers to intercept/decrypt encrypted communications,No known legislation
Madagascar,Other restrictions,No known legislation
Malawi,General right to encryption,"Electronic Transactions and Cyber Security Act, 2016: Section 52(4) provides that, subject to any regulations made under subregulation (1), it is lawful for any person to use encryption programme or product provided that it has lawfully come into possession of that person."
Malawi,Import/export controls,"Electronic Transactions and Cyber Security Act, 2016: Section 54(1) prohibits the provision of cryptography services or products without registration. Applications must be made to the Malawi Communications Regulatory Authority (s.54(2)). The government must issue regulations (a) in respect of use, importation and exportation of encryption programmes and encryption products; and (b) prohibiting the exportation of encryption programmes or other encryption products from Malawi generally or subject to such restrictions as may be prescribed."
Malawi,Licensing/registration requirements,"Electronic Transactions and Cyber Security Act, 2016: Section 54(1) prohibits the provision of cryptography services or products without registration. Applications must be made to the Malawi Communications Regulatory Authority (s.54(2)). The government must issue regulations (a) in respect of use, importation and exportation of encryption programmes and encryption products; and (b) prohibiting the exportation of encryption programmes or other encryption products from Malawi generally or subject to such restrictions as may be prescribed (s.54(3)).
 Section 67(1) further requires a person who provides encryption services to declare to the Malawi Communications Regulatory Authority ""the technical characteristics of the encryption means as well as the source code of the software used"". The government must issue regulations defining the conditions for such declarations and ""may define encryption services whose technical characteristics or conditions of supply are such that, with regard to national defence or internal security interests, their provision shall not require any prior formality"" (s. 67(2)).
 Violation of either of these provisions is punishable by up to seven years' imprisonment and a fine of MWK 5,000,000."
Malawi,Min/max standards,No known legislation
Malawi,Powers to intercept/decrypt encrypted communications,No known legislation
Malawi,Other restrictions,No known legislation
Malaysia,General right to encryption,No known legislation
Malaysia,Import/export controls,No known legislation
Malaysia,Licensing/registration requirements,No known legislation
Malaysia,Min/max standards,No known legislation
Malaysia,Powers to intercept/decrypt encrypted communications,"Criminal Procedure Code (Act 593): Section 116B(1) requires a police officer conducting a search under the Code to be given access to computerised data whether stored in a computer or otherwise. ""Access"" includes ""being provided with the necessary password, encryption code, decryption code, software or hardware and any other means required to enable comprehension of the computerized data"" (s. 116B(3)).
 Computer Crimes Act 1997 (Act 563): Section 10(1)(c) allows a police officer, upon obtaining a warrant from a magistrate, to require any information contained in a computer and accessible from the premises to be produced in a form in which it can be taken away and in which it is visible and legible. Section 11 provides that failure to comply is punishable by up to three years' imprisonment and/or a fine of up to MYR 25,000.
 Digital Signature Act 1997 (Act 562): Section 79(1) requires that a police officer conducting a search under section 77 or 78 of the Act, or an authorised officer conducting a search under section 77 of the Act, be given access to computerised data whether stored in a computer or otherwise. ""Access"" includes ""being provided with the necessary password, encryption code, decryption code, software or hardware and any other means required to enable comprehension of computerized data (s.79(2))"". Failure to comply is punishable by imprisonment for up to four years and/or a fine of up to MYR 200,000 (s. 83(1)).
 Communications and Multimedia Act 1998 (Act 588): Section 249(1) requires that a police officer conducting a search under section 247 or 248 of the Act, or an authorised officer conducting a search under section 247 of the Act, be given access to computerised data whether stored in a computer or otherwise. ""Access"" includes ""being provided with the necessary password, encryption code, decryption code, software or hardware and any other means required to enable comprehension of computerized data"" (s.79(2)). Failure to comply is punishable by imprisonment for up to six months years and/or a fine of up to MYR 20,000 (s. 253).
 Anti-Trafficking in Persons and Anti-Smuggling of Migrants Act 2007 (Act 670): Section 32(1) requires that an enforcement officer conducting a search under the Act be given access to computerised data whether stored in a computer or otherwise. ""Access"" includes ""being provided with the necessary password, encryption code, decryption code, software or hardware and any other means required to enable comprehension of computerized data"" (s.32(2)). Failure to comply is punishable by imprisonment for up to three years and/or a fine of up to MYR 150,000 (s. 63(1))."
Malaysia,Other restrictions,No known legislation
Maldives,General right to encryption,No known legislation
Maldives,Import/export controls,No known legislation
Maldives,Licensing/registration requirements,No known legislation
Maldives,Min/max standards,No known legislation
Maldives,Powers to intercept/decrypt encrypted communications,No known legislation
Maldives,Other restrictions,No known legislation
Mali,General right to encryption,No known legislation
Mali,Import/export controls,No known legislation
Mali,Licensing/registration requirements,No known legislation
Mali,Min/max standards,No known legislation
Mali,Powers to intercept/decrypt encrypted communications,No known legislation
Mali,Other restrictions,No known legislation
Malta,General right to encryption,No known legislation
Malta,Import/export controls,No known legislation
Malta,Licensing/registration requirements,No known legislation
Malta,Min/max standards,No known legislation
Malta,Powers to intercept/decrypt encrypted communications,"Criminal Code: Section 355Q provides that the police may, in addition to the power of seizing a computer machine, require any information which is contained in a computer to be delivered in a form in which it can be taken away and in which it is visible and legible."
Malta,Other restrictions,"Electronic Commerce Act: Section 23(7) provides that no person shall use cryptographic or other similar techniques for any illegal purpose. Doing so is an offence punishable by imprisonment of up to six months and/or a fine of up to EUR 232,935 (s. 24)."
Marshall Islands,General right to encryption,No known legislation
Marshall Islands,Import/export controls,No known legislation
Marshall Islands,Licensing/registration requirements,No known legislation
Marshall Islands,Min/max standards,No known legislation
Marshall Islands,Powers to intercept/decrypt encrypted communications,No known legislation
Marshall Islands,Other restrictions,No known legislation
Mauritania,General right to encryption,No known legislation
Mauritania,Import/export controls,No known legislation
Mauritania,Licensing/registration requirements,No known legislation
Mauritania,Min/max standards,No known legislation
Mauritania,Powers to intercept/decrypt encrypted communications,No known legislation
Mauritania,Other restrictions,No known legislation
Mauritius,General right to encryption,No known legislation
Mauritius,Import/export controls,No known legislation
Mauritius,Licensing/registration requirements,No known legislation
Mauritius,Min/max standards,No known legislation
Mauritius,Powers to intercept/decrypt encrypted communications,No known legislation
Mauritius,Other restrictions,No known legislation
Mexico,General right to encryption,No known legislation
Mexico,Import/export controls,No known legislation
Mexico,Licensing/registration requirements,No known legislation
Mexico,Min/max standards,No known legislation
Mexico,Powers to intercept/decrypt encrypted communications,No known legislation
Mexico,Other restrictions,No known legislation
Micronesia,General right to encryption,No known legislation
Micronesia,Import/export controls,No known legislation
Micronesia,Licensing/registration requirements,No known legislation
Micronesia,Min/max standards,No known legislation
Micronesia,Powers to intercept/decrypt encrypted communications,No known legislation
Micronesia,Other restrictions,No known legislation
Moldova,General right to encryption,No known legislation
Moldova,Import/export controls,No known legislation
Moldova,Licensing/registration requirements,No known legislation
Moldova,Min/max standards,No known legislation
Moldova,Powers to intercept/decrypt encrypted communications,No known legislation
Moldova,Other restrictions,No known legislation
Monaco,General right to encryption,No known legislation
Monaco,Import/export controls,No known legislation
Monaco,Licensing/registration requirements,No known legislation
Monaco,Min/max standards,No known legislation
Monaco,Powers to intercept/decrypt encrypted communications,No known legislation
Monaco,Other restrictions,No known legislation
Mongolia,General right to encryption,No known legislation
Mongolia,Import/export controls,No known legislation
Mongolia,Licensing/registration requirements,No known legislation
Mongolia,Min/max standards,No known legislation
Mongolia,Powers to intercept/decrypt encrypted communications,No known legislation
Mongolia,Other restrictions,No known legislation
Montenegro,General right to encryption,No known legislation
Montenegro,Import/export controls,No known legislation
Montenegro,Licensing/registration requirements,No known legislation
Montenegro,Min/max standards,No known legislation
Montenegro,Powers to intercept/decrypt encrypted communications,No known legislation
Montenegro,Other restrictions,No known legislation
Morocco,General right to encryption,No known legislation
Morocco,Import/export controls,"Law No. 53-05: Article 13 requires prior approval from the authorities in order to use cryptography (including to import or export encryption services). Use of cryptography in breach of Article 13 is punishable by up to one year's imprisonment and a fine of MAD 100,000. Article 13 also allows the government to provide a simplified system of reporting or authorisation or exemption of the declaration or authorisation for certain types of means or cryptographic services or for certain categories of users."
Morocco,Licensing/registration requirements,"Law No. 53-05: Article 13 requires prior approval from the authorities in order to use cryptography (including to import or export encryption services). Use of cryptography in breach of Article 13 is punishable by up to one year's imprisonment and a fine of MAD 100,000. Article 13 also allows the government to provide a simplified system of reporting or authorisation or exemption of the declaration or authorisation for certain types of means or cryptographic services or for certain categories of users."
Morocco,Min/max standards,No known legislation
Morocco,Powers to intercept/decrypt encrypted communications,No known legislation
Morocco,Other restrictions,No known legislation
Mozambique,General right to encryption,No known legislation
Mozambique,Import/export controls,No known legislation
Mozambique,Licensing/registration requirements,No known legislation
Mozambique,Min/max standards,No known legislation
Mozambique,Powers to intercept/decrypt encrypted communications,No known legislation
Mozambique,Other restrictions,No known legislation
Myanmar,General right to encryption,No known legislation
Myanmar,Import/export controls,No known legislation
Myanmar,Licensing/registration requirements,No known legislation
Myanmar,Min/max standards,No known legislation
Myanmar,Powers to intercept/decrypt encrypted communications,Telecommunications Law: Section 69 suggests that decryption of encrypted data can only be required for a telecommunications-related matter prosecution and only when authorised by a court order.
Myanmar,Other restrictions,No known legislation
Namibia,General right to encryption,No known legislation
Namibia,Import/export controls,No known legislation
Namibia,Licensing/registration requirements,No known legislation
Namibia,Min/max standards,No known legislation
Namibia,Powers to intercept/decrypt encrypted communications,No known legislation
Namibia,Other restrictions,No known legislation
Nauru,General right to encryption,No known legislation
Nauru,Import/export controls,No known legislation
Nauru,Licensing/registration requirements,No known legislation
Nauru,Min/max standards,No known legislation
Nauru,Powers to intercept/decrypt encrypted communications,No known legislation
Nauru,Other restrictions,No known legislation
Nepal,General right to encryption,No known legislation
Nepal,Import/export controls,No known legislation
Nepal,Licensing/registration requirements,No known legislation
Nepal,Min/max standards,No known legislation
Nepal,Powers to intercept/decrypt encrypted communications,No known legislation
Nepal,Other restrictions,No known legislation
New Zealand,General right to encryption,No known legislation
New Zealand,Import/export controls,No known legislation
New Zealand,Licensing/registration requirements,No known legislation
New Zealand,Min/max standards,No known legislation
New Zealand,Powers to intercept/decrypt encrypted communications,No known legislation
New Zealand,Other restrictions,No known legislation
Nicaragua,General right to encryption,No known legislation
Nicaragua,Import/export controls,No known legislation
Nicaragua,Licensing/registration requirements,No known legislation
Nicaragua,Min/max standards,No known legislation
Nicaragua,Powers to intercept/decrypt encrypted communications,No known legislation
Nicaragua,Other restrictions,No known legislation
Niger,General right to encryption,No known legislation
Niger,Import/export controls,No known legislation
Niger,Licensing/registration requirements,No known legislation
Niger,Min/max standards,No known legislation
Niger,Powers to intercept/decrypt encrypted communications,No known legislation
Niger,Other restrictions,No known legislation
Nigeria,General right to encryption,No known legislation
Nigeria,Import/export controls,No known legislation
Nigeria,Licensing/registration requirements,No known legislation
Nigeria,Min/max standards,No known legislation
Nigeria,Powers to intercept/decrypt encrypted communications,"Cybercrimes (Prohibition, Prevention, etc) Act 2015: Section 45 allow a law enforcement officer, after obtaining a warrant from a judge, to ""use any technology to decode or decrypt any coded or encrypted data contained in a computer into readable text or comprehensible format"". While there is no compulsion on individuals to assist by providing a key or otherwise decrypting any data, section 46 provides that wilfully obstructing any law enforcement officer in the exercise of any powers conferred by the Act or failing to comply with any lawful inquiry or resists made by any law enforcement agency in accordance with provisions of the Act is a criminal offence, punishable by imprisonment for up to two years and/or a fine of up to NGN 500,000."
Nigeria,Other restrictions,No known legislation
North Korea,General right to encryption,No known legislation
North Korea,Import/export controls,No known legislation
North Korea,Licensing/registration requirements,No known legislation
North Korea,Min/max standards,No known legislation
North Korea,Powers to intercept/decrypt encrypted communications,No known legislation
North Korea,Other restrictions,No known legislation
Norway,General right to encryption,No known legislation
Norway,Import/export controls,No known legislation
Norway,Licensing/registration requirements,No known legislation
Norway,Min/max standards,No known legislation
Norway,Powers to intercept/decrypt encrypted communications,No known legislation
Norway,Other restrictions,No known legislation
Oman,General right to encryption,No known legislation
Oman,Import/export controls,No known legislation
Oman,Licensing/registration requirements,No known legislation
Oman,Min/max standards,No known legislation
Oman,Powers to intercept/decrypt encrypted communications,No known legislation
Oman,Other restrictions,No known legislation
Pakistan,General right to encryption,No known legislation
Pakistan,Import/export controls,No known legislation
Pakistan,Licensing/registration requirements,The Pakistan Telecommunication Authority requires prior approval for the use of VPNs and encryption.
Pakistan,Min/max standards,No known legislation
Pakistan,Powers to intercept/decrypt encrypted communications,"Prevention of Electronic Crimes Ordinance, 2007 (Ordinance LXXII of 2007): Section 26 provides that an investigation officer, after obtaining a search warrant, shall be entitled to require any person who is in possession of decryption information of under investigation electronic system, device or data to grant him access to such decryption information necessary to decrypt data required for the purpose of investigating any such offence. Failure to do so is punishable by up to one year's imprisonment and/or a fine of up to PKR 100,000."
Pakistan,Other restrictions,No known legislation
Palau,General right to encryption,No known legislation.
Palau,Import/export controls,No known legislation.
Palau,Licensing/registration requirements,No known legislation.
Palau,Min/max standards,No known legislation.
Palau,Powers to intercept/decrypt encrypted communications,No known legislation.
Palau,Other restrictions,No known legislation.
Palestine,General right to encryption,No known legislation.
Palestine,Import/export controls,No known legislation.
Palestine,Licensing/registration requirements,No known legislation.
Palestine,Min/max standards,No known legislation.
Palestine,Powers to intercept/decrypt encrypted communications,No known legislation.
Palestine,Other restrictions,No known legislation.
Panama,General right to encryption,No known legislation.
Panama,Import/export controls,No known legislation.
Panama,Licensing/registration requirements,No known legislation.
Panama,Min/max standards,No known legislation.
Panama,Powers to intercept/decrypt encrypted communications,No known legislation.
Panama,Other restrictions,No known legislation.
Papua New Guinea,General right to encryption,No known legislation.
Papua New Guinea,Import/export controls,No known legislation.
Papua New Guinea,Licensing/registration requirements,No known legislation.
Papua New Guinea,Min/max standards,No known legislation.
Papua New Guinea,Powers to intercept/decrypt encrypted communications,No known legislation.
Papua New Guinea,Other restrictions,No known legislation.
Paraguay,General right to encryption,No known legislation.
Paraguay,Import/export controls,No known legislation.
Paraguay,Licensing/registration requirements,No known legislation.
Paraguay,Min/max standards,No known legislation.
Paraguay,Powers to intercept/decrypt encrypted communications,No known legislation.
Paraguay,Other restrictions,No known legislation.
Peru,General right to encryption,No known legislation.
Peru,Import/export controls,No known legislation.
Peru,Licensing/registration requirements,No known legislation.
Peru,Min/max standards,No known legislation.
Peru,Powers to intercept/decrypt encrypted communications,No known legislation.
Peru,Other restrictions,No known legislation.
Philippines,General right to encryption,No known legislation.
Philippines,Import/export controls,No known legislation.
Philippines,Licensing/registration requirements,No known legislation.
Philippines,Min/max standards,No known legislation.
Philippines,Powers to intercept/decrypt encrypted communications,No known legislation.
Philippines,Other restrictions,No known legislation.
Poland,General right to encryption,No known legislation.
Poland,Import/export controls,No known legislation.
Poland,Licensing/registration requirements,No known legislation.
Poland,Min/max standards,No known legislation.
Poland,Powers to intercept/decrypt encrypted communications,No known legislation.
Poland,Other restrictions,No known legislation.
Portugal,General right to encryption,No known legislation.
Portugal,Import/export controls,No known legislation.
Portugal,Licensing/registration requirements,No known legislation.
Portugal,Min/max standards,No known legislation.
Portugal,Powers to intercept/decrypt encrypted communications,No known legislation.
Portugal,Other restrictions,No known legislation.
Qatar,General right to encryption,No known legislation.
Qatar,Import/export controls,No known legislation.
Qatar,Licensing/registration requirements,No known legislation.
Qatar,Min/max standards,No known legislation.
Qatar,Powers to intercept/decrypt encrypted communications,No known legislation.
Qatar,Other restrictions,No known legislation.
Republic of the Congo,General right to encryption,No known legislation.
Republic of the Congo,Import/export controls,No known legislation.
Republic of the Congo,Licensing/registration requirements,No known legislation.
Republic of the Congo,Min/max standards,No known legislation.
Republic of the Congo,Powers to intercept/decrypt encrypted communications,No known legislation.
Republic of the Congo,Other restrictions,No known legislation.
Romania,General right to encryption,No known legislation.
Romania,Import/export controls,No known legislation.
Romania,Licensing/registration requirements,No known legislation.
Romania,Min/max standards,No known legislation.
Romania,Powers to intercept/decrypt encrypted communications,No known legislation.
Romania,Other restrictions,No known legislation.
Russia,General right to encryption,No known legislation.
Russia,Import/export controls,No known legislation
Russia,Licensing/registration requirements,"Federal Law No. 128-FZ ""On Licensing Specific Types of Activity"": Article 17 provides that a licence is required for distributing encryption facilities, maintaining encryption facilities, providing encryption services, and developing and manufacturing encryption facilities protected by means of encryption."
Russia,Min/max standards,No known legislation.
Russia,Powers to intercept/decrypt encrypted communications,"Federal Law No. 149-FZ â€œOn Information, Information Technologies and Protection of Informationâ€: Article 10-1, paragraph 4-1 requires â€œorganisers of information distributionâ€ that add â€œadditional codingâ€ to transmitted electronic messages to provide the Federal Security Service with any information necessary to decrypt those messages."
Russia,Other restrictions,No known legislation
Rwanda,General right to encryption,No known legislation.
Rwanda,Import/export controls,No known legislation.
Rwanda,Licensing/registration requirements,No known legislation.
Rwanda,Min/max standards,No known legislation.
Rwanda,Powers to intercept/decrypt encrypted communications,No known legislation.
Rwanda,Other restrictions,No known legislation.
Saint Kitts and Nevis,General right to encryption,No known legislation.
Saint Kitts and Nevis,Import/export controls,No known legislation.
Saint Kitts and Nevis,Licensing/registration requirements,No known legislation.
Saint Kitts and Nevis,Min/max standards,No known legislation.
Saint Kitts and Nevis,Powers to intercept/decrypt encrypted communications,No known legislation.
Saint Kitts and Nevis,Other restrictions,No known legislation.
Saint Lucia,General right to encryption,No known legislation.
Saint Lucia,Import/export controls,No known legislation.
Saint Lucia,Licensing/registration requirements,No known legislation.
Saint Lucia,Min/max standards,No known legislation.
Saint Lucia,Powers to intercept/decrypt encrypted communications,"Interception of Communications Act (Cap 3.12)
 Section 21 enables the making of disclosure orders. Either the Attorney General or the Director of Public Prosecutions may apply to a judge for such a disclosure order. Where a disclosure order is made, the subject must either disclose the key or the information which is encrypted in an intelligible format. Failure to comply with a disclosure order commits is an offence punishable by up to one year's imprisonment and/or a fine of up to XCD 5,000 (s. 22(7))."
Saint Lucia,Other restrictions,No known legislation.
Saint Vincent and the Grenadines,General right to encryption,No known legislation.
Saint Vincent and the Grenadines,Import/export controls,No known legislation.
Saint Vincent and the Grenadines,Licensing/registration requirements,"Electronic Communications Act 2007: Section 34 establishes a register of all cryptography providers. Unless they are registered, a cryptography provide cannot provide cryptography products."
Saint Vincent and the Grenadines,Min/max standards,No known legislation.
Saint Vincent and the Grenadines,Powers to intercept/decrypt encrypted communications,No known legislation.
Saint Vincent and the Grenadines,Other restrictions,No known legislation.
Samoa,General right to encryption,No known legislation.
Samoa,Import/export controls,No known legislation.
Samoa,Licensing/registration requirements,No known legislation.
Samoa,Min/max standards,No known legislation.
Samoa,Powers to intercept/decrypt encrypted communications,No known legislation.
Samoa,Other restrictions,No known legislation.
San Marino,General right to encryption,No known legislation.
San Marino,Import/export controls,No known legislation.
San Marino,Licensing/registration requirements,No known legislation.
San Marino,Min/max standards,No known legislation.
San Marino,Powers to intercept/decrypt encrypted communications,No known legislation.
San Marino,Other restrictions,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,General right to encryption,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,Import/export controls,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,Licensing/registration requirements,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,Min/max standards,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,Powers to intercept/decrypt encrypted communications,No known legislation.
SÃ£o TomÃ© and PrÃ­ncipe,Other restrictions,No known legislation.
Saudi Arabia,General right to encryption,No known legislation.
Saudi Arabia,Import/export controls,No known legislation.
Saudi Arabia,Licensing/registration requirements,No known legislation.
Saudi Arabia,Min/max standards,No known legislation.
Saudi Arabia,Powers to intercept/decrypt encrypted communications,No known legislation.
